SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
LEGACY TRADITIONAL SCHOOL - GLENDALE,13091 N 67TH AVE,GLENDALE,MARICOPA,85306,NO,,PUBLIC,143,81.1%,14.7%,95.8%,81.8%,14.7%,96.5%,81.1%,14.7%,95.8%,86.0%,11.9%,97.9%,89.5%,9.8%,99.3%,15.4%,0.0%,10.5%
LEGACY TRADITIONAL SCHOOL - MARICOPA,17760 REGENT DR,MARICOPA,PINAL,85138,NO,,CHARTER,140,87.9%,8.6%,96.4%,90.7%,8.6%,99.3%,89.3%,9.3%,98.6%,92.9%,6.4%,99.3%,94.3%,5.7%,100.0%,10.0%,2.1%,4.3%
LEGACY TRADITIONAL SCHOOL - MESA,3651 EAST MCKELLIPS ROAD,MESA,MARICOPA,85215,YES,LPN,CHARTER,120,85.8%,13.3%,99.2%,86.7%,12.5%,99.2%,85.8%,13.3%,99.2%,95.0%,5.0%,100.0%,92.5%,7.5%,100.0%,15.0%,1.7%,5.8%
LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,1900 N MCQUEEN RD,CHANDLER,MARICOPA,85225,NO,,CHARTER,139,84.9%,15.1%,100.0%,85.6%,0.0%,100.0%,86.3%,13.7%,100.0%,88.5%,11.5%,100.0%,89.2%,10.8%,100.0%,15.8%,15.8%,6.5%
LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,3500 W CORTARO FARMS RD,TUCSON,PIMA,85742,NO,,CHARTER,123,92.7%,7.3%,100.0%,93.5%,6.5%,100.0%,90.2%,8.9%,100.0%,95.1%,4.9%,100.0%,95.9%,4.1%,100.0%,7.3%,2.4%,4.9%
LEGACY TRADITIONAL SCHOOL - PEORIA,7877 W. HILLCREST BLVD,PEORIA,MARICOPA,85383,NO,,CHARTER,102,86.3%,13.7%,100.0%,87.3%,12.7%,100.0%,85.3%,14.7%,100.0%,92.2%,7.8%,100.0%,92.2%,7.8%,100.0%,15.7%,0.0%,2.0%
LEGACY TRADITIONAL SCHOOL - PHOENIX,4545 N 99TH AVE,PHOENIX,MARICOPA,85037,NO,,CHARTER,189,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,92.1%,7.9%,100.0%,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,7.4%,0.0%,0.0%
LEGACY TRADITIONAL SCHOOL - SAN TAN,1679 WEST EMPIRE BOULEVARD,SAN TAN VALLEY,PINAL,85142,YES,RN,CHARTER,122,79.5%,11.5%,91.0%,78.7%,12.3%,91.0%,83.6%,9.0%,92.6%,86.1%,9.0%,95.1%,89.3%,7.4%,96.7%,13.9%,0.8%,2.5%
LEGACY TRADITIONAL SCHOOL - WEST SURPRISE,17300 W CACTUS ROAD,SURPRISE,MARICOPA,85388,NO,,CHARTER,143,81.8%,14.0%,95.8%,83.2%,12.6%,95.8%,81.8%,14.0%,95.8%,89.5%,9.8%,99.3%,88.8%,10.5%,99.3%,14.7%,0.7%,5.6%
LEGACY TRADITIONAL SCHOOL- EAST MESA,10707 E GUADALUPE RD,MESA,MARICOPA,85212,NO,,CHARTER,162,68.5%,11.7%,80.2%,72.8%,22.8%,95.7%,84.6%,9.3%,93.8%,90.7%,7.4%,98.1%,90.7%,7.4%,98.1%,22.8%,0.0%,8.0%
LEGACY TRADITIONAL SCHOOL SURPRISE,14506 W SWEETWATER AVE,SURPRISE,MARICOPA,85379,YES,LPN,CHARTER,161,84.5%,15.5%,100.0%,84.5%,15.5%,100.0%,85.1%,14.9%,100.0%,95.7%,4.3%,100.0%,96.3%,3.7%,100.0%,16.8%,1.9%,3.1%
LEGACY TRADITIONAL SCHOOL-QUEEN CREEK,41800 N. BARNES PKWY,QUEEN CREEK,PINAL,85140,NO,,CHARTER,80,88.8%,11.3%,100.0%,88.8%,11.3%,100.0%,88.8%,11.3%,100.0%,92.5%,7.5%,100.0%,93.8%,6.3%,100.0%,11.3%,0.0%,5.0%
LEGEND SPRINGS ELEMENTARY,21150 N ARROWHEAD LOOP,GLENDALE,MARICOPA,85308,YES,RN,PUBLIC,92,91.3%,7.6%,100.0%,90.2%,8.7%,100.0%,91.3%,7.6%,100.0%,91.3%,7.6%,100.0%,94.6%,5.4%,100.0%,8.7%,0.0%,7.6%
LEHI ELEMENTARY SCHOOL,2555 N STAPLEY DR,MESA,MARICOPA,85203,YES,RN,PUBLIC,39,87.2%,2.6%,89.7%,87.2%,2.6%,89.7%,84.6%,2.6%,87.2%,94.9%,2.6%,97.4%,74.4%,2.6%,97.4%,2.6%,0.0%,0.0%
LEMAN ACADEMY OF EXCELLENCE - EAST CAMPUS,10100 E GOLF LINKS RD,TUCSON,PIMA,85730,NO,,CHARTER,136,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,93.4%,6.6%,100.0%,94.9%,5.1%,100.0%,97.8%,2.2%,100.0%,7.4%,0.0%,2.2%
LEMAN ACADEMY OF EXCELLENCE - EAST MESA,3761 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,<20,73.7%,21.1%,94.7%,73.7%,21.1%,94.7%,68.4%,26.3%,94.7%,73.7%,21.1%,94.7%,78.9%,21.1%,100.0%,26.3%,0.0%,21.1%
LEMAN ACADEMY OF EXCELLENCE - MARANA,"7720 N SILVERBELL RD, BLDG 1 & 2",TUCSON,PIMA,85743,NO,,CHARTER,139,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,96.4%,3.6%,100.0%,5.0%,0.0%,3.6%
LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,12255 N LA CAÑADA DRIVE,ORO VALLEY,PIMA,85755,YES,LPN,CHARTER,114,90.4%,5.3%,96.5%,90.4%,5.3%,96.5%,90.4%,5.3%,98.2%,93.9%,4.4%,99.1%,95.6%,3.5%,99.1%,6.1%,0.0%,3.5%
LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,1000 E. WILCOX DR,SIERRA VISTA,COCHISE,85635,NO,,CHARTER,65,95.4%,4.6%,100.0%,95.4%,4.6%,100.0%,95.4%,4.6%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,4.6%,0.0%,0.0%
LEMAN ACADEMY OF EXCELLENCE CENTRAL TUCSON,6188 E PIMA STREET,TUCSON,PIMA,85712,NO,,CHARTER,80,83.8%,10.0%,97.5%,83.8%,11.3%,97.5%,83.8%,11.3%,97.5%,90.0%,8.8%,100.0%,92.5%,6.3%,98.8%,12.5%,0.0%,6.3%
LEMAN VIRTUAL ACADEMY,7720 N SILVERBELL RD,TUCSON,PIMA,85743,NO,,CHARTER,<20,86.7%,6.7%,93.3%,86.7%,6.7%,93.3%,73.3%,6.7%,80.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,6.7%,0.0%,6.7%
LEONOR HAMBLY K-8,824 THORNE AVE,WINKLEMAN,GILA,85292,NO,,PUBLIC,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,94.4%,5.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,5.6%,0.0%,0.0%
LEUPP PUBLIC SCHOOL,45 MILES NORTHEAST OF FLAGSTAFF ON EAST SIDE OF LEUPP RD,LEUPP,COCONINO,86035,YES,RN,PUBLIC,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LIBERTY ARTS ACADEMY,3015 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,34,76.5%,23.5%,100.0%,76.5%,23.5%,100.0%,76.5%,23.5%,100.0%,76.5%,23.5%,100.0%,100.0%,0.0%,100.0%,23.5%,0.0%,23.5%
LIBERTY ELEMENTARY SCHOOL - TUCSON,5495 S LIBERTY AVE,TUCSON,PIMA,85706,YES,RN,PUBLIC,74,95.9%,2.7%,100.0%,95.9%,2.7%,100.0%,97.3%,2.7%,100.0%,95.9%,2.7%,100.0%,97.3%,2.7%,100.0%,2.7%,0.0%,2.7%
LIBERTY ELEMENTARY SCHOOL-85254,5125 E MARILYN RD,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,53,96.2%,1.9%,98.1%,94.3%,3.8%,98.1%,92.5%,5.7%,98.1%,98.1%,1.9%,100.0%,96.2%,3.8%,100.0%,5.7%,0.0%,5.7%
LIBERTY ELEMENTARY SCHOOL-85326,19818 W HWY 85,BUCKEYE,MARICOPA,85326,YES,LPN,PUBLIC,32,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,6.3%,0.0%,6.3%
LIBERTY TRADITIONAL CHARTER SCHOOL - N 45TH AVE,4901 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85031,NO,,CHARTER,<20,89.5%,5.3%,94.7%,89.5%,5.3%,94.7%,89.5%,5.3%,94.7%,89.5%,5.3%,94.7%,94.7%,5.3%,100.0%,5.3%,0.0%,0.0%
LIBERTY TRADITIONAL CHARTER SCHOOL - SADDLEBACK,3715 N WASHINGTON AVE,DOUGLAS,COCHISE,85607,NO,,CHARTER,25,96.0%,4.0%,100.0%,100.0%,0.0%,100.0%,88.0%,0.0%,88.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,4.0%,0.0%
LIGHT OF CHRIST CHRISTIAN PRESCHOOL,6289 S GREENFIELD RD,GILBERT,MARICOPA,85298,NO,,PRIVATE,<20,69.2%,30.8%,100,69.2%,30.8%,100.0%,53.8%,30.8%,100.0%,61.5%,30.8%,100.0%,61.5%,30.8%,92.3%,30.8%,0.0%,30.8%
LINCOLN ELEMENTARY SCHOOL,652 N TYLER AVE,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,66,98.5%,0.0%,100.0%,98.5%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LINCOLN ELEMENTARY SCHOOL,201 PARK AVE,PRESCOTT,YAVAPAI,86303,YES,RN,PUBLIC,49,77.6%,22.4%,100.0%,79.6%,20.4%,100.0%,73.5%,24.5%,98.0%,83.7%,16.3%,100.0%,79.6%,20.4%,100.0%,24.5%,0.0%,24.5%
LINCOLN ELEMENTARY SCHOOL,930 S SIRRINE,MESA,MARICOPA,85210,YES,RN,PUBLIC,75,93.3%,4.0%,100.0%,93.3%,4.0%,100.0%,94.7%,5.3%,100.0%,93.3%,6.7%,100.0%,96.0%,4.0%,100.0%,5.3%,0.0%,2.7%
LINDBERGH ELEMENTARY SCHOOL,930 S LAZONA DR,MESA,MARICOPA,85204,YES,RN,PUBLIC,49,95.9%,2.0%,100.0%,100.0%,0.0%,100.0%,98.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,2.0%,0.0%
LINDEN ELEMENTARY SCHOOL,1009 SCHOOL HOUSE LN,LINDEN,NAVAJO,85901,NO,,PUBLIC,37,75.7%,16.2%,100.0%,81.1%,16.2%,100.0%,62.2%,16.2%,100.0%,83.8%,16.2%,100.0%,78.4%,16.2%,94.6%,16.2%,0.0%,16.2%
LINEWEAVER ELEMENTARY SCHOOL,461 S BRYANT AVE,TUCSON,PIMA,85711,YES,RN,PUBLIC,86,91.9%,7.0%,98.8%,91.9%,7.0%,98.8%,93.0%,5.8%,98.8%,93.0%,5.8%,98.8%,94.2%,5.8%,100.0%,5.8%,0.0%,5.8%
LITCHFIELD ELEMENTARY SCHOOL,13825 W WIGWAM BLVD,LITCHFIELD PARK,MARICOPA,85340,YES,LPN,PUBLIC,91,87.9%,5.5%,94.5%,87.9%,5.5%,94.5%,89.0%,5.5%,94.5%,91.2%,5.5%,96.7%,92.3%,5.5%,97.8%,5.5%,0.0%,5.5%
LITTLE RED SCHOOLHOUSE,HWY 82 & DUQUESNE RD,NOGALES,SANTA CRUZ,85621,NO,,PUBLIC,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LITTLETON ELEMENTARY SCHOOL,1252 S 115TH AVE,CASHION,MARICOPA,85323,YES,RN,PUBLIC,86,91.9%,2.3%,97.7%,91.9%,2.3%,97.7%,89.5%,2.3%,97.7%,94.2%,2.3%,98.8%,95.3%,2.3%,97.7%,2.3%,0.0%,2.3%
LOMA LINDA ELEMENTARY SCHOOL,2002 E CLARENDON AVE,PHOENIX,MARICOPA,85016,YES,RN,PUBLIC,46,87.0%,4.3%,93.5%,84.8%,4.3%,89.1%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,4.3%,0.0%,4.3%
LONE MOUNTAIN ELEMENTARY SCHOOL,5250 E MONTGOMERY RD,CAVE CREEK,MARICOPA,85331,NO,,PUBLIC,54,81.5%,18.5%,100.0%,81.5%,18.5%,100.0%,81.5%,18.5%,100.0%,79.6%,20.4%,100.0%,83.3%,16.7%,100.0%,20.4%,0.0%,16.7%
LONGFELLOW ELEMENTARY SCHOOL,345 S HALL ST,MESA,MARICOPA,85204,YES,RN,PUBLIC,49,95.9%,2.0%,100.0%,98.0%,2.0%,100.0%,95.9%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,2.0%,2.0%,2.0%
LONGVIEW ELEMENTARY SCHOOL,1209 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,85014,NO,,PUBLIC,48,93.8%,0.0%,100.0%,93.8%,0.0%,100.0%,93.8%,0.0%,100.0%,93.8%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LOOKOUT MOUNTAIN SCHOOL,15 W CORAL GABLES DR,PHOENIX,MARICOPA,85023,NO,,PUBLIC,125,95.2%,4.8%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,94.4%,5.6%,100.0%,95.2%,4.8%,100.0%,8.8%,0.0%,6.4%
LORETTO CATHOLIC SCHOOL,1200 14TH ST,DOUGLAS,COCHISE,85607,NO,,PRIVATE,22,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LOS AMIGOS ELEMENTARY SCHOOL,2200 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,88,93.2%,0.0%,95.5%,98.9%,0.0%,100.0%,94.3%,0.0%,95.5%,98.9%,0.0%,100.0%,98.9%,0.0%,100.0%,0.0%,0.0%,0.0%
LOS NINOS ELEMENTARY SCHOOL,5445 S ALVERNON WAY,TUCSON,PIMA,85706,YES,RN,PUBLIC,58,100.0%,0.0%,100.0%,98.3%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LOURDES CATHOLIC ELEMENTARY SCHOOL,555 E PATAGONIA HWY,NOGALES,SANTA CRUZ,85621,NO,,PRIVATE,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,94.4%,0.0%,94.4%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
LOWELL ELEMENTARY SCHOOL,920 E BROADWAY RD,MESA,MARICOPA,85204,YES,RN,PUBLIC,56,92.9%,1.8%,100.0%,96.4%,3.6%,100.0%,92.9%,5.4%,100.0%,98.2%,1.8%,100.0%,96.4%,3.6%,100.0%,7.1%,1.8%,1.8%
LOWELL SCHOOL,1121 S 3RD AVE,PHOENIX,MARICOPA,85003,YES,RN,PUBLIC,29,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,10.3%,0.0%,10.3%
LUKE ELEMENTARY SCHOOL,7300 N DYSART RD,GLENDALE,MARICOPA,85307,NO,,PUBLIC,62,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,95.2%,3.2%,100.0%,96.8%,3.2%,100.0%,4.8%,0.0%,3.2%
LULU WALKER SCHOOL,1750 W ROLLER COASTER RD,TUCSON,PIMA,85704,NO,,PUBLIC,53,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,94.3%,1.9%,100.0%,100.0%,0.0%,100.0%,98.1%,0.0%,100.0%,0.0%,1.9%,0.0%
LYNN URQUIDES ELEMENTARY SCHOOL,1573 W AJO WAY,TUCSON,PIMA,85713,YES,RN,PUBLIC,55,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MABEL PADGETT ELEMENTARY SCHOOL,15430 W TURNEY AVE,GOODYEAR,MARICOPA,85395,YES,RN,PUBLIC,77,94.8%,2.6%,98.7%,96.1%,2.6%,98.7%,96.1%,2.6%,98.7%,98.7%,1.3%,100.0%,97.4%,2.6%,100.0%,2.6%,0.0%,1.3%
MACARTHUR ELEMENTARY SCHOOL,1435 E MCLELLAN RD,MESA,MARICOPA,85203,YES,RN,PUBLIC,85,84.7%,11.8%,100.0%,85.9%,10.6%,100.0%,84.7%,12.9%,100.0%,90.6%,8.2%,100.0%,91.8%,7.1%,100.0%,14.1%,1.2%,7.1%
MADISON CAMELVIEW ELEMENTARY,2002 E CAMPBELL AVE,PHOENIX,MARICOPA,85016,NO,,PUBLIC,86,91.9%,3.5%,100.0%,94.2%,3.5%,100.0%,95.3%,3.5%,100.0%,95.3%,3.5%,100.0%,96.5%,3.5%,100.0%,3.5%,0.0%,3.5%
MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MESA,MARICOPA,85206,YES,RN,PUBLIC,47,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,93.6%,4.3%,97.9%,93.6%,6.4%,100.0%,93.6%,4.3%,97.9%,6.4%,0.0%,4.3%
MADISON HEIGHTS ELEMENTARY SCHOOL,7150 N 22ND ST,PHOENIX,MARICOPA,85020,NO,,PUBLIC,109,91.7%,4.6%,100.0%,95.4%,4.6%,100.0%,92.7%,4.6%,100.0%,91.7%,4.6%,100.0%,95.4%,4.6%,100.0%,4.6%,0.0%,4.6%
MADISON RICHARD SIMIS SCHOOL,7302 N 10TH ST,PHOENIX,MARICOPA,85020,YES,RN,PUBLIC,168,91.1%,6.0%,97.6%,92.3%,5.4%,97.6%,93.5%,4.8%,98.2%,94.0%,4.2%,98.2%,95.8%,3.0%,98.8%,6.0%,0.0%,4.8%
MADISON ROSE LANE SCHOOL,1155 E ROSE LN,PHOENIX,MARICOPA,85014,YES,RN,PUBLIC,123,88.6%,10.6%,100.0%,91.1%,8.1%,100.0%,90.2%,8.9%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,9.8%,0.0%,6.5%
MADISON TRADITIONAL ACADEMY,925 E MARYLAND AVE,PHOENIX,MARICOPA,85014,NO,,PUBLIC,71,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,95.8%,4.2%,100.0%,97.2%,2.8%,100.0%,5.6%,0.0%,1.4%
MADRID NEIGHBORHOOD SCHOOL,3736 W OSBORN RD,PHOENIX,MARICOPA,85019,NO,,PUBLIC,60,96.7%,0.0%,100.0%,96.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MAGMA RANCH K-8 SCHOOL,10980 E DESERT MOUNTAIN BLVD,FLORENCE,PINAL,85132,NO,,PUBLIC,42,97.6%,0.0%,100.0%,97.6%,0.0%,100.0%,97.6%,0.0%,100.0%,97.6%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MAGNET TRADITIONAL SCHOOL,2602 N 23RD AVE,PHOENIX,MARICOPA,85009,YES,LPN,PUBLIC,36,94.4%,0.0%,100.0%,100.0%,0.0%,100.0%,94.4%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MAIE BARTLETT HEARD SCHOOL,2301 W THOMAS RD,PHOENIX,MARICOPA,85015,YES,RN,PUBLIC,37,89.2%,5.4%,97.3%,89.2%,5.4%,97.3%,89.2%,5.4%,97.3%,91.9%,5.4%,100.0%,94.6%,5.4%,100.0%,5.4%,0.0%,5.4%
MALDONADO AMELIA ELEMENTARY SCHOOL,3535 W MESSALA WAY,TUCSON,PIMA,85746,YES,RN,PUBLIC,41,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MAMMOTH SAN MANUEL PK-12 ELEMENTARY(K-5),711 N MCNAB PARKWAY,SAN MANUEL,PINAL,85631,NO,,PUBLIC,31,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MANUEL DEMIGUEL ELEMENTARY SCHOOL,3500 S GILLENWATER DR,FLAGSTAFF,COCONINO,86005,YES,RN,PUBLIC,72,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,4.2%,0.0%,1.4%
MANUEL PENA JR. ELEMENTARY SCHOOL,2550 N 79TH AVE,PHOENIX,MARICOPA,85035,NO,,PUBLIC,87,95.4%,0.0%,95.4%,95.4%,0.0%,95.4%,95.4%,0.0%,95.4%,95.4%,0.0%,100.0%,95.4%,0.0%,95.4%,0.0%,0.0%,0.0%
"MANY FARMS COMMUNITY SCHOOL, INC - 86538",HWY 191,MANY FARMS,APACHE,86538,NO,,PUBLIC,24,83.3%,0.0%,100.0%,83.3%,0.0%,100.0%,83.3%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MANY FARMS PUBLIC SCHOOL - 86503,HWY 191,CHINLE,APACHE,86538,NO,,PUBLIC,29,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MANZANITA ELEMENTARY SCHOOL - KINGMAN,2601 DETROIT AVENUE,KINGMAN,MOHAVE,86401,YES,RN,PUBLIC,128,79.7%,8.6%,89.8%,80.5%,8.6%,89.8%,80.5%,8.6%,89.8%,92.2%,6.3%,99.2%,93.8%,5.5%,99.2%,8.6%,0.8%,4.7%
MANZANITA ELEMENTARY SCHOOL - PHOENIX,8430 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,58,94.8%,3.4%,100.0%,98.3%,1.7%,100.0%,96.6%,3.4%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,3.4%,0.0%,1.7%
MANZANITA SCHOOL,3000 E MANZANITA AVE,TUCSON,PIMA,85718,YES,RN,PUBLIC,71,98.6%,0.0%,100.0%,100.0%,0.0%,100.0%,98.6%,0.0%,100.0%,97.2%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MANZO ELEMENTARY SCHOOL,855 N MELROSE AVE,TUCSON,PIMA,85745,YES,RN,PUBLIC,45,100.0%,0.0%,100.0%,97.8%,2.2%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MARICOPA ELEMENTARY SCHOOL,18150 N. ALTERRA PKWY,MARICOPA,PINAL,85139,YES,RN,PUBLIC,119,89.1%,5.0%,97.5%,90.8%,5.0%,98.3%,93.3%,5.0%,98.3%,94.1%,5.0%,99.2%,96.6%,3.4%,100.0%,5.9%,0.0%,3.4%
MARILYN THIELE WILSON SCHOOL - MESA,5619 E GLADE AVE,MESA,MARICOPA,85206,YES,RN,PUBLIC,46,91.3%,8.7%,100.0%,91.3%,8.7%,100.0%,93.5%,6.5%,100.0%,91.3%,8.7%,100.0%,100.0%,0.0%,100.0%,8.7%,0.0%,8.7%
MARION DONALDSON ELEMENTARY SCHOOL,2040 W OMAR DR,TUCSON,PIMA,85704,YES,RN,PUBLIC,39,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MARIONNEAUX ELEMENTARY SCHOOL,21455 W ROESER RD,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,59,84.7%,5.1%,89.8%,86.4%,5.1%,91.5%,86.4%,5.1%,91.5%,91.5%,5.1%,96.6%,98.3%,1.7%,100.0%,5.1%,0.0%,1.7%
MARJORIE W ESTES ELEMENTARY SCHOOL,11280 W GRIER RD,MARANA,PIMA,85658,NO,,PUBLIC,80,91.3%,3.8%,95.0%,92.5%,2.5%,95.0%,88.8%,5.0%,93.8%,96.3%,1.3%,97.5%,95.0%,2.5%,97.5%,5.0%,1.3%,5.0%
MARLEY PARK ELEMENTARY,15042 W SWEETWATER AVE,SURPRISE,MARICOPA,85379,NO,,PUBLIC,108,88.9%,10.2%,100.0%,88.9%,11.1%,100.0%,88.9%,11.1%,100.0%,88.9%,10.2%,100.0%,89.8%,10.2%,100.0%,11.1%,0.0%,8.3%
MARSHALL ELEMENTARY SCHOOL,9066 E 29TH ST,TUCSON,PIMA,85710,YES,RN,PUBLIC,42,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,2.4%,0.0%,0.0%
MARSHALL HUMPHREY II ELEMENTARY SCHOOL,125 S 132ND ST,CHANDLER,MARICOPA,85225,NO,,PUBLIC,37,91.9%,5.4%,100.0%,91.9%,5.4%,100.0%,94.6%,5.4%,100.0%,91.9%,5.4%,100.0%,94.6%,0.0%,100.0%,5.4%,0.0%,0.0%
MARSHALL RANCH ELEMENTARY SCHOOL,12995 N MARSHALL RANCH DR,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,54,92.6%,1.9%,94.4%,87.0%,3.7%,90.7%,87.0%,3.7%,90.7%,92.6%,3.7%,96.3%,96.3%,3.7%,100.0%,3.7%,0.0%,1.9%
MARTIN LUTHER KING JR ELEMENTARY SCHOOL,4615 S 22ND ST,PHOENIX,MARICOPA,85040,YES,RN,CHARTER,43,88.4%,4.7%,100.0%,93.0%,4.7%,100.0%,95.3%,4.7%,100.0%,93.0%,4.7%,100.0%,79.1%,4.7%,97.7%,4.7%,0.0%,4.7%
MARY A OTONDO ELEMENTARY SCHOOL,2251 OTONDO DR,YUMA,YUMA,85365,YES,RN,PUBLIC,100,89.0%,2.0%,92.0%,90.0%,2.0%,92.0%,90.0%,2.0%,92.0%,93.0%,2.0%,95.0%,89.0%,2.0%,91.0%,2.0%,8.0%,2.0%
MARY BELLE MCCORKLE,4455 S MISSION RD,TUCSON,PIMA,85746,YES,RN,PUBLIC,80,88.8%,0.0%,88.8%,88.8%,0.0%,88.8%,92.5%,0.0%,92.5%,96.3%,0.0%,96.3%,98.8%,0.0%,98.8%,0.0%,1.3%,0.0%
